"time","der(Tj)","Tj"
0.754,35.41351445070936,65.11408689170035
0.756,35.34168834599237,65.18484290919622
0.758,35.27000792396259,65.25545541443
0.76,35.19847289037315,65.32592469726477
0.762,35.12708295164106,65.39625104690965
0.764,35.05583781484714,65.46643475191981
0.766,34.98473718773598,65.53647610019655
0.768,34.913780778716,65.60637537898724
0.77,34.8429682968594,65.67613287488533
0.772,34.77229945190224,65.74574887383034
0.774,34.70177395424427,65.81522366110794
0.776,34.63139151494917,65.88455752134981
0.778,34.56115184574443,65.95375073853369
0.78,34.49105465902119,66.02280359598355
0.782,34.42109966783454,66.09171637636929
0.784,34.35128658590334,66.16048936170698
0.786,34.28161512761025,66.22912283335872
0.788,34.21208500800172,66.29761707203274
0.79,34.14269594278798,66.36597235778338
0.792,34.0734476483432,66.43418897001092
0.794,34.00433984170516,66.50226718746192
0.796,33.93537224057562,66.57020728822889
0.798,33.86654456331998,66.63800954975049
0.8,33.79785652896764,66.70567424881138
0.802,33.72930785721159,66.77320166154246
0.804,33.66089800125086,66.84059232659828
0.806,33.5926265962976,66.90784660333198
0.808,33.5244936556192,66.97496447867384
0.81,33.45649889885006,67.04194622881246
0.812,33.38864204623984,67.1087921293304
0.814,33.32092281865334,67.17550245520421
0.816,33.25334093757063,67.24207748080435
0.818,33.18589612508701,67.30851747989522
0.82,33.11858810391292,67.3748227256352
0.822,33.0514165973741,67.4409934905766
0.824,32.9843813294115,67.50703004666566
0.826,32.91748202458127,67.57293266524258
0.828,32.85071840805473,67.63870161704153
0.83,32.78409020561856,67.70433717219056
0.832,32.71759714367452,67.76983960021174
0.834,32.65123894923966,67.83520917002103
0.836,32.58501534994621,67.9004461499284
0.838,32.51892607404168,67.96555080763768
0.84,32.4529708503887,68.03052341024674
0.842,32.38714940846523,68.09536422424732
0.844,32.3214614783644,68.16007351552513
0.846,32.25590679079452,68.22465154935985
0.848,32.19048507707917,68.2890985904251
0.85,32.12519606915718,68.35341490278839
0.852,32.06003949958252,68.41760074991126
0.854,31.99501510152441,68.48165639464914
0.856,31.93012260876733,68.54558209925142
0.858,31.86536175571091,68.60937812536146
0.86,31.80073227737005,68.67304473401653
0.862,31.73623390937485,68.73658218564786
0.864,31.67186638797066,68.79999074008063
